fid,name,system,price,dev_1,hold_1,dev_7,hold_7,dev_30,hold_30,dev_90,hold_90,dev_180,hold_180,dev_365,hold_365
O003,MVRV,cycle,cm,0.061,-0.0072,0.0967,-0.0475,0.1212,-0.1928,0.1896,,0.1585,,-0.0097,
O004,MVRV Z causal,cycle,cm,0.057,-0.013,0.069,-0.0613,0.0715,-0.2235,0.0575,,0.0415,,-0.1542,
M057,Mayer Multiple,cycle,cm,0.0681,0.0072,0.0976,-0.0211,0.1111,-0.0658,0.1563,,0.2052,,0.0473,
M059,200W MA distance,cycle,cm,0.0117,-0.0242,-0.0249,-0.0899,-0.0833,-0.2691,-0.1787,,-0.3468,,,
M058,2Y MA multiplier,cycle,cm,0.0578,-0.0068,0.0709,-0.0351,0.0593,-0.1525,0.0697,,0.0538,,-0.1597,
O072,Puell Multiple,cycle,cm,0.0488,0.0192,0.059,0.0231,0.0404,-0.034,-0.0107,,-0.0225,,-0.2246,
O013,Mcap / thermocap,cycle,cm,-0.0031,-0.0322,-0.0503,-0.1049,-0.133,-0.2892,-0.2429,,-0.3586,,-0.5288,
O011,Realized cap 90d change,cycle,cm,0.0537,-0.0053,0.0853,-0.0462,0.0823,-0.1963,0.1364,,0.1545,,-0.0292,
M065,Four-year return,cycle,cm,-0.0024,0.0179,-0.0126,0.0359,0.0092,0.1137,0.0849,,0.1221,,,
M066,Log power-law residual,cycle,cm,0.0091,-0.0242,-0.0343,-0.0883,-0.1198,-0.263,-0.2266,,-0.3413,,-0.5348,
N001,ROI 1y (CM),cycle,cm,0.0205,0.0186,0.0133,0.0199,-0.0508,-0.0441,-0.0431,,-0.0676,,-0.2238,
O067,Hash ribbons,cycle,cm,0.0379,0.0395,0.0471,0.1234,0.0162,0.2009,0.0254,,0.0233,,-0.0857,
O059,Fee share of issuance+fees,cycle,cm,0.0181,0.0438,0.0205,0.111,0.0597,0.2323,-0.026,,-0.0569,,-0.2009,
O081,Exchange supply ratio,cycle,cm,-0.0533,0.0312,-0.0925,0.0884,-0.1054,0.1664,-0.1918,,-0.2488,,-0.2777,
N002,"Mcap per active address (log, z 365)",cycle,cm,0.0634,0.0074,0.0966,-0.0146,0.1075,-0.0714,0.129,,0.0997,,-0.0584,
M064,Days since halving,cycle,cm,-0.0684,0.035,-0.1122,0.0557,-0.1771,0.1104,-0.2989,,-0.3725,,-0.2468,
O102,Stablecoin mcap 30d change,regime,cm,0.0222,0.0101,0.0591,-0.0099,0.1347,-0.0776,,,0.2781,,,
O103,Stablecoin supply ratio,regime,cm,0.0025,-0.0128,-0.0221,-0.0528,-0.0314,-0.2001,,,-0.0768,,,
O079,Exchange netflow 30d / exch supply,regime,cm,-0.0078,-0.0154,-0.0651,0.0122,-0.1582,0.1139,-0.1812,,-0.1392,,-0.1541,
O080,Exchange balance 30d change,regime,cm,-0.0085,-0.0226,-0.0658,-0.0137,-0.1591,0.1024,-0.1816,,-0.1386,,-0.1537,
M115,Net liquidity heuristic 13w change,regime,cm,0.0413,0.0139,0.0804,0.0388,0.095,0.1591,0.1177,,0.0644,,-0.0765,
M106,Broad dollar 30d change,regime,cm,-0.0263,0.0053,-0.0748,0.0229,-0.1292,0.1758,-0.2433,,-0.2376,,-0.1193,
M107,Real 10y yield 30d change,regime,cm,-0.0112,0.0103,-0.0446,0.09,-0.0661,0.3282,-0.0752,,-0.04,,-0.0167,
M109,VIX level,regime,cm,-0.0376,0.0042,-0.0627,0.0389,-0.0682,0.1595,-0.0165,,0.0411,,0.1371,
M110,S&P 500 30d return,regime,cm,-0.0028,0.0042,-0.0245,-0.0016,-0.0178,-0.1983,,,0.0957,,,
M108,HY OAS 30d change,regime,cm,,-0.0472,,-0.0901,,0.0143,,,,,,
M105,M2 yoy,regime,cm,0.0167,-0.0225,0.0295,-0.0598,0.0245,-0.1545,-0.0144,,0.0034,,0.1433,
M001,SMA200 distance,regime,cm,0.0681,0.0072,0.0976,-0.0211,0.1111,-0.0658,0.1563,,0.2052,,0.0473,
M015,TS momentum 90d,regime,cm,0.0714,0.0033,0.1147,-0.0191,0.1175,-0.0322,0.1158,,0.1898,,0.0554,
